feature,importance
subdomain_count,30.79932279263785
path_length,18.726404425283963
slash_count,12.040862738000591
dot_count,10.90716654336678
digit_count,9.794133690436679
url_length,5.593502689022304
has_ip_host,4.96147939787644
hostname_length,3.017749761534587
hyphen_count,2.033355809107227
phishing_keyword_count,1.5699894885400398
suspicious_tld,0.32450230746302966
has_at_symbol,0.14264285769811125
casino_keyword_count,0.07341148259004233
pyramid_keyword_count,0.015476016442341818
registrar_country_kz,0.0
domain_age_days,0.0
domain_expiry_days,0.0
whois_privacy,0.0
dns_mx_count,0.0
dns_a_count,0.0
whois_available,0.0
dns_txt_count,0.0
ssl_days_to_expiry,0.0
has_spf,0.0
has_dmarc,0.0
ssl_valid,0.0
response_time_ms,0.0
ssl_issuer_known,0.0
ssl_self_signed,0.0
page_size_bytes,0.0
external_link_ratio,0.0
iframe_count,0.0
password_form_count,0.0
popup_or_redirect,0.0
