feature,mean_abs_shap
subdomain_count,0.37131800612753524
path_length,0.339752164774549
digit_count,0.31958390797835184
dot_count,0.25562053874580914
slash_count,0.24031934981722602
has_ip_host,0.11162758767918281
url_length,0.09167414030747964
phishing_keyword_count,0.043192396117863095
hostname_length,0.04080053553107382
hyphen_count,0.036248305312507174
suspicious_tld,0.0030439135098000955
has_at_symbol,0.002261989382321359
casino_keyword_count,0.001741946560041784
pyramid_keyword_count,0.00031800189322571696
registrar_country_kz,0.0
domain_age_days,0.0
domain_expiry_days,0.0
whois_privacy,0.0
dns_mx_count,0.0
dns_a_count,0.0
whois_available,0.0
dns_txt_count,0.0
ssl_days_to_expiry,0.0
has_spf,0.0
has_dmarc,0.0
ssl_valid,0.0
response_time_ms,0.0
ssl_issuer_known,0.0
ssl_self_signed,0.0
page_size_bytes,0.0
external_link_ratio,0.0
iframe_count,0.0
password_form_count,0.0
popup_or_redirect,0.0
